pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
SI,94.9,2.28,5.65,1.46,1.03,-0.33,2.72,-10.166333763215412,-137.87420017141065,-4.332540577686075,20.85636146811752,29.28753919748877,-18.180128706256195,3.35,1.6,95.7,2530.0,6.7,53.77,114.0,1.5,1.46,-1.46
CH,85.2,2.47,5.46,0.97,-0.01,1.31,1.83,-4.7372524693204845,-124.06495868535058,-2.282792017892928,10.975230169830787,21.42224126976461,-32.1052991285547,3.35,1.65,86.9,1524.0,7.0,53.5,116.0,3.11,0.97,-0.97
FF,94.8,2.38,5.65,1.17,1.29,-0.11,2.63,-9.188865379161657,-137.68882857813614,-5.138279890787119,16.881359040036312,29.822120915890338,-14.794349657837014,3.35,1.6,95.8,2535.0,6.9,53.61,131.0,1.25,1.17,-1.17
SL,80.9,2.48,5.54,-0.25,0.32,0.77,1.93,-3.3593330104814387,-117.8438829786304,-2.1027788752181475,-1.7739021509582873,20.594695074581956,-28.96717053272399,3.33,1.65,81.9,1989.0,6.8,53.75,315.0,3.13,-0.25,0.25
FF,94.9,2.35,5.69,1.26,1.11,0.83,2.32,-6.850082443711718,-138.04852444851414,-5.695998497234494,17.588791287937276,29.57852042449251,-16.839395302055163,3.33,1.51,95.9,2347.0,6.8,53.71,124.0,1.41,1.26,1.26
FF,96.2,2.41,5.68,1.09,1.38,-0.6,2.44,-10.606982704102506,-139.60749096705862,-6.195383254217239,16.66156417640325,31.523276559132896,-12.917566758253736,3.33,1.51,97.6,2370.0,7.3,53.25,129.0,1.1,1.09,1.09
SL,80.8,2.42,5.48,-0.04,0.23,0.53,2.79,-4.185049278558309,-117.74844972940376,0.1813340824436315,0.4145203798932723,21.100604727266912,-30.21897209791797,3.33,1.51,81.9,2043.0,6.8,53.7,256.0,3.23,-0.04,-0.04
SI,95.4,2.32,5.67,1.44,0.94,0.54,2.31,-7.958700454979944,-138.6473786594261,-5.318858495460984,20.33282270638789,33.03033450737214,-19.034345851632395,3.33,1.51,95.7,2418.0,6.7,53.81,126.0,1.58,1.44,1.44
SL,81.9,2.43,5.44,0.48,0.65,-1.04,1.6,-8.813738594733097,-118.94175171503394,-3.379649223861991,6.245873761485036,23.20148971066549,-25.49399583090558,3.3,1.52,82.5,2056.0,6.8,53.66,147.0,2.76,0.48,0.48
SI,95.9,2.43,5.61,1.41,1.22,-0.19,3.34,-10.181641461038272,-139.2209635115477,-3.135123781648019,20.674033365597992,32.87376431098315,-15.773998585639962,3.33,1.51,96.3,2493.0,6.8,53.71,125.0,1.28,1.41,1.41
FF,94.8,2.34,5.69,1.29,1.16,-0.39,2.25,-10.09400602597579,-137.73147556310303,-5.992133381046763,18.63409145237071,28.6331207197286,-16.181884768415696,3.33,1.52,95.7,2497.0,6.8,53.73,126.0,1.37,1.29,1.29
FF,94.1,2.52,5.61,1.35,1.07,-0.23,2.51,-10.178626439035996,-136.61604098081756,-4.763632535332801,19.071293402166862,28.994759654640244,-17.8331942872907,3.4,1.57,94.8,2471.0,6.8,53.74,126.0,1.51,1.35,1.35
FF,94.4,2.31,5.61,1.27,1.19,0.46,1.45,-7.698966838704173,-137.12611444106335,-7.823187858818475,17.76013818761596,30.245531571470824,-15.56614489989832,3.33,1.58,95.0,2499.0,6.7,53.8,125.0,1.38,1.27,1.27
FF,94.3,2.42,5.64,1.23,1.11,-1.13,1.23,-12.0690346320645,-136.6180943024305,-8.249331013185115,18.152572115598527,31.496203046852912,-16.431636325001275,3.55,1.65,94.8,2401.0,7.0,53.55,127.0,1.48,1.23,1.23
SL,82.2,2.48,5.51,0.8,0.73,1.04,3.18,-4.89404236819896,-119.52338137651236,-0.054921405527362,8.686604480303238,26.25153578136937,-25.477178409636043,3.34,1.6,82.6,1075.0,6.9,53.57,103.0,2.69,0.8,-0.8
SI,93.2,2.48,5.65,1.35,1.3,-0.91,1.62,-11.687605068562329,-134.99917740191404,-7.334271802362858,19.196861721406584,33.18156983984856,-14.785946773175793,3.31,1.69,92.7,2463.0,6.5,53.95,126.0,1.38,1.35,-1.35
SL,80.0,2.46,5.49,-0.17,-0.19,0.8,1.73,-3.3700034124904787,-116.36544513094496,-1.0608475673093665,-0.7756562795154279,27.028467522899096,-33.861101173476136,3.32,1.61,79.9,2043.0,6.8,53.73,282.0,3.82,-0.17,0.17
FF,93.3,2.4,5.69,1.29,1.21,-0.01,3.68,-9.063483340769922,-135.37534734129565,-1.9739778178060243,18.022066504288816,34.43952185616697,-17.178093341020418,3.35,1.61,92.8,2420.0,6.6,53.94,120.0,1.46,1.29,-1.29
FF,91.5,2.45,5.67,1.08,1.33,0.0,2.55,-8.58246059704086,-132.71421632879137,-4.802132525950992,14.709480126633894,33.526760405778724,-15.619481540188302,3.34,1.6,91.6,2365.0,6.9,53.56,123.0,1.45,1.08,-1.08
FF,95.4,2.44,5.65,1.28,1.24,-0.71,2.01,-11.284766019837402,-138.40364953900684,-6.803299498820912,18.929946437539456,28.9417420495066,-14.848512980203116,3.46,1.69,96.4,2456.0,6.9,53.62,122.0,1.27,1.28,-1.28
FF,95.1,2.3,5.6,1.22,1.11,-1.37,2.98,-12.494081391664151,-137.933692553395,-3.761610351249592,18.22761159807857,28.1846317636915,-17.246587968245905,3.46,1.7,96.4,2396.0,7.0,53.48,119.0,1.41,1.22,-1.22
CH,84.3,2.44,5.47,1.0,-0.07,-0.54,2.32,-9.039114477278906,-122.44889810659636,-0.8226928798113509,11.822659405397264,22.886999472983284,-32.96424732818127,3.41,1.61,85.4,1542.0,7.0,53.5,112.0,3.28,1.0,-1.0
CH,84.6,2.42,5.4,1.06,-0.25,0.0,1.26,-7.855455204258541,-123.00393750475718,-2.8245776043768323,12.308532997887095,23.667326544363725,-34.39961828568153,3.52,1.69,85.6,1344.0,6.9,53.56,109.0,3.44,1.06,-1.06
SL,80.9,2.45,5.54,-0.31,0.26,-0.18,2.97,-5.321331291900789,-117.66997314031914,0.4981845292568418,-1.731022290896052,24.92498370440303,-30.096567586265834,3.46,1.7,81.2,1993.0,6.8,53.75,301.0,3.26,-0.31,0.31
FF,93.8,2.39,5.64,1.05,1.33,-0.19,3.21,-9.056883481967292,-136.32058029531925,-3.5131627546475945,15.039603077536286,29.344866848254167,-15.03266584641518,3.52,1.66,94.5,2433.0,6.7,53.79,126.0,1.27,1.05,-1.05
SI,93.2,2.41,5.7,1.48,1.2,0.87,2.25,-7.261880742813516,-135.50272834372214,-5.763891074023282,19.87109434661756,29.988618165130845,-16.275211448354817,3.52,1.66,93.7,2371.0,6.6,53.87,122.0,1.43,1.48,-1.48
SI,94.9,2.35,5.62,1.35,1.04,-2.19,2.57,-14.980267621586655,-137.40136267297623,-4.642235700042989,20.31872782438164,28.668272070808023,-18.080728407196503,3.66,1.74,95.5,2458.0,6.8,53.7,115.0,1.51,1.35,-1.35
SI,93.3,2.44,5.63,1.4,1.19,-0.24,2.98,-10.05222405487248,-135.47256477230806,-3.700594164550135,19.43218896929637,29.3121952451126,-16.849021234666903,3.52,1.66,94.1,2379.0,6.9,53.64,123.0,1.44,1.4,-1.4
FF,93.4,2.44,5.7,1.38,1.2,1.9,2.95,-4.482423172309317,-135.88244537471613,-3.973648744996076,18.10838459733756,31.503310090599747,-16.626802155871594,3.57,1.75,94.1,2339.0,6.8,53.67,125.0,1.42,1.38,-1.38
FF,92.8,2.64,5.59,1.38,1.15,1.12,1.56,-7.010474110805975,-134.76717951109444,-7.066694093188007,18.389654442083557,31.344718003111502,-16.749488844563583,3.59,1.74,93.7,2336.0,7.1,53.42,123.0,1.52,1.38,-1.38
FF,93.5,2.25,5.74,1.16,1.05,-1.21,1.71,-11.564841888501665,-135.55825552939214,-6.954737298055896,16.912579744078595,30.11009234096252,-17.817665246927866,3.37,1.59,94.0,2334.0,6.8,53.68,123.0,1.58,1.16,-1.16
SL,78.8,2.57,5.54,-0.15,0.24,0.81,2.21,-3.57655190792734,-114.72936274190462,-0.8447487076623128,-0.6566642702715254,21.1794032558727,-30.14947473403792,3.22,1.54,79.5,2050.0,6.8,53.73,251.0,3.43,-0.15,0.15
CH,84.8,2.69,5.45,1.51,-0.12,1.08,1.12,-6.877140508671999,-123.32294957376595,-3.5547026117516234,16.76688255118495,25.38950757433149,-32.85757710696804,3.46,1.66,85.7,1545.0,7.0,53.52,113.0,3.3,1.51,-1.51
FF,94.3,2.39,5.65,1.33,1.11,-0.23,2.46,-9.878125281357107,-136.92583586608816,-5.133535277835354,18.924924710548687,29.73748064907279,-17.20047933977617,3.46,1.66,95.4,2377.0,7.0,53.48,126.0,1.46,1.33,-1.33
SL,81.4,2.58,5.47,-0.06,0.19,0.86,2.08,-3.7752282045024304,-118.58002654901802,-1.409752836853542,0.1057317557237686,21.580787795706957,-30.342453352337603,3.46,1.66,82.3,2147.0,6.7,53.76,278.0,3.23,-0.06,0.06
SL,82.4,2.61,5.5,0.23,0.54,-0.53,0.67,-7.657069172146148,-119.7688902509626,-5.521904790372931,3.758292888164192,23.446010366830546,-26.041167554895697,3.46,1.66,83.0,2083.0,6.8,53.71,114.0,2.82,0.23,-0.23
SL,81.0,2.53,5.53,-0.11,0.41,0.65,2.21,-4.031800191998072,-117.8972578931778,-1.5921665833339405,-0.2716274077102082,22.3201742844774,-28.26113709242192,3.74,1.77,82.1,2112.0,7.0,53.47,256.0,3.06,-0.11,0.11
FF,94.3,2.55,5.66,1.21,1.09,0.26,1.69,-8.692337291345398,-136.99698701315234,-7.125571929352109,17.082295348456572,28.632379019201537,-16.972829632241567,3.81,1.88,95.1,2426.0,6.7,53.77,124.0,1.47,1.21,-1.21
FF,93.5,2.62,5.62,1.22,1.08,-0.23,1.45,-10.082999090377944,-135.67872690879102,-7.414100882646115,17.27913151727565,29.61841239289232,-17.267509959314083,4.05,1.92,93.9,2386.0,6.7,53.8,123.0,1.54,1.22,-1.22
FF,94.0,2.65,5.61,0.99,1.22,-0.27,1.84,-9.842705130644289,-136.40252616956883,-6.748269900801786,14.58003862220158,31.73939241050828,-15.598549415331242,4.06,1.9,94.5,2160.0,6.8,53.65,120.0,1.39,0.99,-0.99
FF,93.4,2.6,5.62,1.32,1.09,0.15,1.03,-9.279999925922516,-135.51644322130707,-8.433182872808183,18.346637978796004,31.37228889157906,-16.99245862461151,4.1,1.97,93.6,2246.0,6.7,53.79,116.0,1.55,1.32,-1.32
FF,94.2,2.48,5.66,1.17,1.22,-0.12,1.1,-9.400407079171783,-136.65665804774045,-8.828400131074464,16.73965790686591,31.631083842912656,-15.003936234689377,4.06,1.96,94.5,2370.0,6.7,53.75,120.0,1.37,1.17,-1.17
FF,93.8,2.6,5.6,1.12,1.1,-1.61,2.41,-13.43717285566198,-135.8990192486007,-4.923548817280806,16.89723612548659,30.078122723808534,-17.62696436680789,4.06,1.93,94.1,2310.0,6.7,53.78,126.0,1.52,1.12,-1.12
SL,80.1,2.53,5.6,0.0,0.24,-0.7,1.76,-7.181454950615436,-116.3836096536883,-2.069094133196754,1.609811100370305,25.854970876115917,-29.844936549956923,3.35,1.6,79.9,1957.0,6.6,53.88,274.0,3.38,0.0,0.0
SI,95.0,2.45,5.71,1.39,1.29,-1.12,1.97,-12.450872948860177,-137.47495754222822,-6.915604862384284,20.61586932236196,34.22558099926947,-14.317297325734195,3.34,1.63,94.2,2430.0,6.4,54.08,126.0,1.29,1.39,-1.39
SI,93.6,2.38,5.66,1.38,1.18,-0.69,1.35,-10.997933304847644,-135.63958574318767,-7.917057867876376,19.567838678038807,31.684168057979537,-15.959434050159516,3.42,1.66,93.4,2444.0,6.5,53.96,127.0,1.46,1.38,-1.38
FF,92.8,2.53,5.64,1.05,1.37,-0.22,2.32,-9.36161278075597,-134.71491839969744,-5.681066500817674,14.808078706463348,30.28031077024038,-14.36949735865089,3.44,1.64,93.0,2371.0,6.6,53.87,124.0,1.29,1.05,-1.05
CH,85.8,2.49,5.68,1.11,-0.34,-0.03,1.58,-8.282369825110806,-124.69519129746548,-2.7373295343908923,13.25897783525756,24.942828954414093,-35.38686308401841,3.53,1.67,86.5,1627.0,6.8,53.72,111.0,3.44,1.11,-1.11
FF,93.7,2.58,5.89,1.13,1.23,-0.27,2.56,-9.943399258942344,-136.0191890071089,-5.590841817626675,16.25739421690833,30.81946123548705,-15.798696797416811,3.53,1.67,94.2,2491.0,6.8,53.71,123.0,1.38,1.13,-1.13
FF,93.9,2.56,5.9,0.99,1.24,-0.3,3.25,-9.641023248037229,-136.2860773978804,-3.842330517176848,14.525207849950826,31.69972687301572,-16.121221743931898,3.53,1.67,94.2,2496.0,6.8,53.74,129.0,1.37,0.99,-0.99
CH,84.0,2.61,5.63,1.17,0.43,1.35,1.98,-5.3303000027227165,-122.14796808464376,-2.9096751478721816,12.819752552884532,24.921599884419017,-27.497997757197755,3.58,1.69,85.0,1312.0,7.0,53.46,106.0,2.81,1.17,-1.17
CH,84.3,2.55,5.63,0.93,0.26,0.9,2.38,-5.758118015848078,-122.56971863209502,-1.6801982663130557,10.489333886318562,25.19344096752105,-29.403599051485383,3.58,1.76,85.2,1117.0,7.0,53.47,105.0,2.96,0.93,0.93
CH,84.0,2.54,5.67,1.02,-0.01,1.08,1.86,-5.445990739235119,-122.16937926546076,-2.4037288875921146,11.299218252870023,24.331423063854388,-32.023173333307035,3.58,1.76,84.7,1596.0,6.8,53.72,111.0,3.25,1.02,1.02
SL,80.9,2.51,5.68,0.0,0.4,-0.91,0.88,-7.709085412475578,-117.42682851716268,-4.763630258586421,1.6016615961569605,23.988687940478545,-27.757905830071355,3.65,1.82,81.3,2095.0,6.9,53.63,143.0,3.13,0.0,0.0
SL,79.6,2.62,5.72,-0.21,0.08,1.27,2.44,-2.5816386412841137,-115.82670631664102,-0.5355679659534197,-1.356324378542091,23.379472457889644,-31.614333745551736,3.58,1.76,80.0,2100.0,6.8,53.73,259.0,3.54,-0.21,-0.21
